"title","awarddate","won","nominated"
"King's Speech, The (2010)",2011-02-27,TRUE,TRUE
"Lord of the Rings: The Fellowship of the Ring, The (2001)",2002-03-24,FALSE,TRUE
"Lord of the Rings: The Return of the King, The (2003)",2004-02-29,TRUE,TRUE
"Lord of the Rings: The Two Towers, The (2002)",2003-03-23,FALSE,TRUE
"Martian, The (2015)",2016-02-28,FALSE,TRUE
"Pianist, The (2002)",2003-03-23,FALSE,TRUE
"Postman, The (Postino, Il) (1994)",1996-03-25,FALSE,TRUE
"The Queen (2006)",2007-02-25,FALSE,TRUE
"Reader, The (2008)",2009-02-22,FALSE,TRUE
"The Revenant (2015)",2016-02-28,FALSE,TRUE
"Sixth Sense, The (1999)",2000-03-26,FALSE,TRUE
"Social Network, The (2010)",2011-02-27,FALSE,TRUE
"The Theory of Everything (2014)",2015-02-22,FALSE,TRUE
"Thin Red Line, The (1998)",1999-03-21,FALSE,TRUE
"Tree of Life, The (2011)",2012-02-26,FALSE,TRUE
"Wolf of Wall Street, The (2013)",2014-03-02,FALSE,TRUE
"There Will Be Blood (2007)",2008-02-24,FALSE,TRUE
"Titanic (1997)",1998-03-23,TRUE,TRUE
"Toy Story 3 (2010)",2011-02-27,FALSE,TRUE
"Traffic (2000)",2001-03-25,FALSE,TRUE
"True Grit (2010)",2011-02-27,FALSE,TRUE
"Up (2009)",2010-03-07,FALSE,TRUE
"Up in the Air (2009)",2010-03-07,FALSE,TRUE
"War Horse (2011)",2012-02-26,FALSE,TRUE
"Whiplash (2014)",2015-02-22,FALSE,TRUE
"Winter's Bone (2010)",2011-02-27,FALSE,TRUE
"Zero Dark Thirty (2012)",2013-02-24,FALSE,TRUE
